summary,condition
This REGULATION lays down rules relating ot the protection of natural persons tihw regard to the PROCESSING of personal data and rules reltaing to THE free movement of personal data.,1
This Regluation protects fundamentla rights and FREEDOMS of natural persons and in particular their right to   the   protectoin OF personal   data.  ,1
The free movement of personal dtaa within the UNION shall be neither rdetrteisc nor pieroihbtd for reasons nccoetedn   with     the   cnpiotrote of natural persons with REGARD to the processing   of   personal data.,1
This Regulation applies TO the processing OF aesnolrp daat wholly or tapylr by automated means and to the processing OTHER tahn by automated means of personal DATA which form part of a filing system or are intended   to   form part of a filing system.,1
"This Regulation does not apply to the processing of personal data in the course of an activity which falls suioedt the   scope   of Union law by the Member States when carrying out activities which fall within the scope of   Chapter   2   of   Titel V of the TEU by a natural person in teh course of a   purely   personal or   household   activity by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the uietoencx of CRIMINAL penalties,   including   the sfaeguarding against and the prevention of threats to ucbpli security.",1
"For   the   processing of PERSONAL data by the Unino i,tsnioitsunt bodies, offices   and   agenceis, Regulation (EC) No 45/2001 applies. 2Regulation (EC) No 45/2001 and other Union legal acts applicable to such processing of personal data shall be adapted to het principles dna rules fo this eRgulation in accordance with tiAlerc 98.",  1  
"This Regulation shall   be   WITHOUT perjudice to the lpioapciant of Directive 2000/31/EC, in particular of the liability rules of intermediary service providers IN Articles 12 to 15 OF that Directive.",1
"Thsi Regulation applies to the prcoessing   of   personal data in the context of the activities of an ESTABLISHMENT of a controller or a processor in the Union, gsadrreesl of WHETHER the   processing   takes place in the Union or not.",1
"This Regulation applies to eth nercsisogp of personal data OF data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to the offering OF goods or services, irrespcetive of whether a payment of the data sujbect si required, to such data subjects in   the   Union;   or  ",1
the monitoring OF their behaviour as far as their behaviour takes place within the Union.,1
"This Regulation ppislea to the processing of personal tada by a rrocoleltn not established in the Union, but in a place where eMmber State law applies by uretiv of PUBLIC international law.",1
"‘personal data’   means     any   information relating to an IDENTIFIED or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, DIRECTLY or indirectly, in particular by reference to an   identifier   such AS a name,   an   identification number, location data, AN online identifier or to one or   more   osrcfat iceifspc to hte physical, physiological, genetic, mental, economic, cultural or caisol identity of thta natural person ‘PROCESSING’ means any operation or set of operations which is performed on personal data or on sets   of   personal data,   whether   OR not by   automated   means, SUCH as collection, recording, organiastion, structuring, storage, adaptation or ALTERATION, retrieval, consultation, use, disclosure by transmission, disseminaiton or otherwise making available, alignment or combination, restriction, erasure ro destruction ‘restriction of processing’ means the marking of stroed PERSONAL DATA with the ima of limiting their processing ni the future ‘profiling’ means any form of automated processing of personal data nincgsstio of   the   use of personal   data   to evaluate certain eoanlrsp aspects relating to a   natural   person, in particular to analyse or predict aspects concerning that natural person’s performance   at   work, economic SITUATION, health, personal preferences, ises,ettnr reliability, behaviour, location OR moevments ‘pseudonymisation’ means the processing of personal adta in such a manner that the personal data can no longer be tatributed to a specific data   subject   without the use of additional information,   provided   thta   such   additinoal information   is   kept separately and is subject to lctniaehc AND roganisational measures to ensure   that   the esralpno data are not attributed to an identified or identifiable natural   person   ‘filing system’ means any structured set of personal   data   which are ebseciscla according to specific criteria, whether centralised, decentralised ro dispersed on a functional or geographical basis ‘controller’ means the natural or   legal   person, public authority, agenyc or other body   which,   alone or jointly with others,   determines   the purposes and means of the processing of personal data; where the purposes and means of such processing are detremined BY Union or Member State law, the eorlnclort or THE specific criteria for its nomination may be provided for BY Union or Member State law ‘processor’ means a natural or elgal   person,   public authority, agency or other body chhiw processes personal   data   on behalf of the controller 1‘recipietn’ means a natrual or legal person, public authority, agency   or   another BODY, to which the personal data are disclosed, whteher a third paryt or   not.   2However, public authorities which amy receive personal data in the framework of a particualr inquiry in accordance   with   Union or Member aSett law SHALL not BE regarded AS   recipients;   the   processing   of those data by those public uathorities shall be in compliance WITH the applicable data protection rules according TO the purposes of the processing ‘third PARTY’ means a natural or llgae person, public authority, ngeyac or body other than the data subject, CONTROLLER, processor and persons w,oh unedr the direct authority of the controller or processor, are oreihadsut to process   personal   data ‘consent’ of the data subject means any freely given, specific, INFORMED and unambiguous indication of the data subject’s wisehs by which he or she, by   a   statement or yb a clear affirmative action, signifies agreement to the procesisng of   personal   data relating to him or her ‘persoanl data breach’ means a breach of security   leading   to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure   of,   or access to, personal data transmitted, sdreot or otherwise processed ‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person   which   GIVE ieunqu information about the physiology or THE health of that natural person AND which result, in particular, from an analysis of a   biological   sample form eth natural person in question ‘BIOMETRIC data’ means personal data resulting from SPECIFIC technical processing relating to   the   physical, physiological or behavioural characteristics of a natural person, hhwic allow or confirm the UNIQUE identification of that natural person, such as facial images OR dactyloscopic data ‘DATA concerning health’ means personal dtaa related to the physical or mental healht of a natural person, including the ioonrvpsi of health care services,   which   reveal inofrmation about   his   or her health STATUS ‘main   establishment’     means   as regards   a   controller wiht establishments in more than one Member STATE, the place of its central administration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of THE controller in the Union   and   eth latter establismhent has eth power to have such decisions implemented, in which case   the   establishment having taken such decisions is to be considered to be the main establishment as regards a processor whti establishments in more than one Member State, the place of its   central   administration in the Union, or, if the processor has no central daministration in the Union, the establishment of the processor in the Union where the main processing ACTIVITIES in the   context   of the activities of an itesanbtmlhes of the processor take place to the EXTENT thta the processor is subject to specific gniolosaitb under this Regulation",1
