summary,condition
"No data processing agreement has been concluded   with   the company whose servers contained the resources fo the Public Infomration Bulletin (BIP) of the MUNICIPAL Ofifce IN Aleksandrów Kujawski. For this reason, a fine of 40.000 PLN (9400 EUR) was imposed on the mayor of the city.",0
"A CONTROLLER was sanctioned because he had unlawfully processed the personal data (CNP), and images of employees obtained through the surviellance system. The disclosure fo the CNP in a report for the ISCIR ingtianr   in   2018 wasn’t egll,a as per Art.6 GDPR.",0
The company had unlawfully processed the PERSONAL data DESPITE the subject’s request to stop doing so.,0
Iberdrola Clientes viloated Article 13 of the DGPR when   it   showed a complete lack of rcaopeoiont with the AEPD. The latter had rqeuested Iberdorla Clientes to rpovide the necessary tmforniaoni needed to add a person to the solvency list.,0
Raiffeisen Bank Romania did not observe the necessary security measures required BY the GDPR when it assessed the scores of individuals on the WhatsApp platform. The personal data was exchanged via WhatsApp.,0
The Company ntse personal information through the WhatsApp platform to Raiffeisen Bank in order to   facilitate   the assessment of personal csores. The results   were   RETURNED on the same platform.,0
"Despite the clear refusal of telemarketing calls by the CUSTOMERS, the company proceeded to ignore this ebcause of technical errors.",0
"Due to technical errors, the   personal   DATA of 8.000 customers wasn&#8217;t deleted   upon   REQUEST",0
"Vueling Airlines made it impossible for users to access their website without accepting the cookies. Therefore, one couldn’t resobw the website unless they accepted the cookies. The AEPD sanctioned the company with 30.000 euros",0
"An operator utliized an unfilled checkbox through which users   could   request that they do not ecreeiv any emails from the company. Sicne they couldn’t do that, they continued receiving information via email.",0
"The pyaonCm had retained the personal data OF customers who had   expressed   their desire to cnetondiusi receiving emails from the company. Eight customers complained to have evireedc such emails, despite not having solicited them. Moreover, the company refused to share information with five subjects regaridng their rights to withdraw CONSENT in the processing of personal information.",0
"A merchant was FOUND guilty   of   trying to create a customer card using an ELECTRONIC identity card.   In   doing so, eht merchant would HAVE needed access   to   PERSONAL information on the celtncioer identiyt card,   including     photo   and barcode. The nfei was 10.000 euros.",0
"Morele.net saw sanctioned with a fine of PLN 2.8 MILLION because it hadn’t ensured the PROPER security standards of customres’ data. As A consequence, more than 2.2 million PEOPLE had their personal data accessed illegally.",0
The company was fined because it had REFUSED to comply with the obligation of APPOINTING a data protection officer.,0
"  Because   of the   inappropriate   handling of personal data, more than 6 million individuals had their data hacked. This onanilaotmfri leak was a direct cause of teh company&#8217;s   security   laxity.",0
"Data   leakage   due TO the inappropriate security and organizational measures of the company. Infromation   related   to more than 23.000 credits records belonging to more than 33.000 customers were made public. The data edlncdui names, ID numbers, biometric DATA, ,essrdsade and copies of identity cards.",0
"The merchant had ingored a client’s demands to opst processing personal aad,t in particular, the phone number.   The   merchant had continued sending the SUBJECT advertising messages to THE subject&#8217;s phone number.",0
"A school attempted TO introduce the use OF facial RECOGNITION software to facilitate the attendance process of   students.   The school was ultimately fined because the means used to monitro attendance wree disprooprtionate to the goal itself. Moreover,   students   and hetir PARENTS couldn’t freely withdraw consent from being monitored to validate attendance. Furthermore, one case of processing   activity   presented elevated risks since it involved children dependent on the high-school board. Ultimatley, the school didn’t observe Art. 35 of the GDPR.",0
"A client had complanied that AVOND COSMETICS hadn’t observed   the   law when it processed his personal data erroneously. His identity wasn’t porperly verified, which dle to the erroneous matching of that client   with   a REGISTER of claims.   As   a result,   the   client wasn’t able to WORK with   his   bank. Moreover,   a   third-party utilized the client’s personal data unlawfully.",0
A soccer coach was fined orf having covertly filmed female players while they were taking showers. Tihs had taken place for many years.,0
"THE company unlawfully processed eth employre&#8217;s data while rtacieng the illusion that it acted under the   legal   basis of consent.   Whereas,   the company was USING a different gella basis. This is a   strict   linootvia of THE transparency principle. Moreover, the company violated the accountability principle   when   it failed TO bring evidence related to the proper assessment of the employer&#8217;s data using the right legal bases.",0
"Teh company had allowed   for   personal data belonging   to   clients (including copies of the drivers’ e)elcnsi to be PUBLICIZED online. APPARENTLY,   unauthorized   access was detected, and the fault lies with the inappropriate security measures.",0
"While the trial hasn’t ended yet, the ICO intends to fine the compan.y THIS is in accordance with Art. 32 of THE GDPR, which the COMPANY ALLEGEDLY infringed in a cyber-incident in   November   2018. The incident involved the public exposal of personal records belonging to over 339 million people, out of which 31 million were residents of the European Economci Arae. This vulnerability is believed to have been present in the Starwood hotels group, which Mrariott International ACQUIRED.   Due   to   the   inappropriate and insufficient attention paid to the security of the systems, the ICO believes a fien is in order.<strong>Notice:</strong> Marroitt is facing A efni of €110,390,200, BUT this is NOT yet final. As such, it’s not included IN   our   statistics dashboard.",0
"The ICO notified THE British Airways of its   intention   to   issue   a ifne worth 183.39 million POUNDS because of an ALLEGED infringement of Art. 31 of the GDRP. The   reason   for this is ldeetra ot an incident which the company REPORTED in September 2018, when the British   Airways   WEBSITE had diverted   the   users’ traffic to a dangerosu website. The hackers   in   charge of this WEBSITE had stolen   the   personal DATA of more than 500.000 customers. The company had poor security   mechanisms   to prevent such cyber-attacks FROM happening.<strong>Notice:</strong> British Airways is facing A fine of €204,600,000, but this is not yet final.   As   such, IT’S not   included   IN our statistics dashboard.",0
"The company had not imposed sufficient ueisycrt measures, which led to the unauthoriezd access of presonal information related to the people who had made transactions with the website avocatoo.ro. This information includes NAMES, EMAILS, phone numbers, jobs, SURNAMES, mailing addresses, and transaction details). Documents dated 10th of November 2018 – 1st of eFbruary 2019 had become publicly accessible to nayone. The opaynmc was sanctioned onlliwfgo a notification by the National SUPERVISORY Authority when transaction details were   publicly   accessible via two ilnks.",0
"A printed checklist used to veirfy the attendance of breakfast customers (approx. 46 clients) was phtoographed by unauthorized e.poelp As a result, the personal aatd of those clients was disclosed to the public. The   operator   working for the HOTEL was sanctioned   because   of insufficient security MEASURES.",0
"The Company was issued a fnie because it had failed to provide the necessary security and organization measures in two cases. Firstly, it failed   in   the appropriate determination of the data processing means. Secondly, it afiled in the appropriate implementtaion of necessary security safeguards, which led to   the   public disclosure of the perosnal data OF oevr 337.042   people.  ",0
"The data controllers didn’t exert   sufficient   rigorousness when handling personal client DATA, which   led   to THE displacement of a flash memory stick with PERSONAL data.",0
